ctprvn_cd,objt_id,fclty_cd,data_yr,emd_cd,fclty_nm,telno,rn_adres,sgg_cd,fclty_ty,x,y,adres
41,200120,509010,2025,41173104,세븐평촌２호점주,,경기도 안양시 동안구 평촌대로223번길 42,41173,편의점,14132378.21,4493727.037,경기도 안양시 동안구 호계동 1045-9
41,200121,509010,2025,41570101,씨유김포북변점,,경기도 김포시 중봉1로 89,41570,편의점,14104830.22,4526876.385,경기도 김포시 북변동 705
41,200122,509010,2025,41370103,지에스25오산한국,,경기도 오산시 밀머리로1번길 12-6,41370,편의점,14145907.47,4458770.79,경기도 오산시 원동 560-41
41,200123,509010,2025,41111134,세븐일레븐수원천로점,,경기도 수원시 장안구 팔달로316번길 39,41111,편의점,14139844.04,4479742.987,경기도 수원시 장안구 영화동 37-264
41,200124,509010,2025,41287104,씨유킨텍스,,경기도 고양시 일산서구 킨텍스로 217-59,41287,편의점,14108837.47,4532161.8,경기도 고양시 일산서구 대화동 2700
41,200125,509010,2025,41480262,씨유파주그린,,경기도 파주시 조리읍 대원로 66,41480,편의점,14116947.19,4541149.733,경기도 파주시 조리읍 대원리 221-8
41,200126,509010,2025,41590117,지에스병점프라임점,,경기도 화성시 병점동로 41,41590,편의점,14142394.82,4468180.569,경기도 화성시 병점동 259-13
27,200127,509010,2025,27200103,지에스25대명,,대구광역시 남구 계명8길 35,27200,편의점,14313334.62,4280275.914,대구광역시 남구 대명동 2239-8
41,200128,509010,2025,41650370,이마트24포천,,경기도 포천시 일동면 운악청계로 1745,41650,편의점,14173389.72,4572805.568,경기도 포천시 일동면 기산리 66-4
41,200129,509010,2025,41465101,이마트24풍덕,,경기도 용인시 수지구 풍덕천로172번길 19-1,41465,편의점,14148839.89,4484403.224,경기도 용인시 수지구 풍덕천동 69-84
41,200130,509010,2025,41287101,지에스25일산탑점,,경기도 고양시 일산서구 원일로58번길 1,41287,편의점,14111844,4535278.562,경기도 고양시 일산서구 일산동 962-7
41,200131,509010,2025,41590420,세븐일레븐,,경기도 화성시 동탄기흥로247번길 20,41590,편의점,14147656.09,4464592.558,경기도 화성시 방교동 767-1
41,200132,509010,2025,41171102,지에스25안양석수로점,,경기도 안양시 만안구 석수로178번길 32,41171,편의점,14126161.94,4495930.427,경기도 안양시 만안구 석수동 764
41,200133,509010,2025,41461310,집밥뚝딱,,경기도 용인시 처인구 모현읍 백옥대로 2390,41461,편의점,14165389.28,4486178.809,경기도 용인시 처인구 모현읍 왕산리 799-2
41,200134,509010,2025,41190108,씨유중동미림점,,경기도 부천시 원미구 신흥로 169,41190,편의점,14112732.99,4508853.134,경기도 부천시 원미구 중동 1131-2
41,200135,509010,2025,41173102,세븐일레븐안양인덕원,,경기도 안양시 동안구 흥안대로 516,41173,편의점,14135069.58,4495015.612,경기도 안양시 동안구 관양동 1505-22
41,200136,509010,2025,41390132,씨스페이스,,경기도 시흥시 만해로 43,41390,편의점,14109436.03,4485460.696,경기도 시흥시 정왕동 2123-3
41,200137,509010,2025,41190101,씨유유원센터,,경기도 부천시 원미구 조마루로385번길 92,41190,편의점,14114211.36,4509143.398,경기도 부천시 원미구 원미동 39-1
41,200138,509010,2025,41115141,지에스리테일수원영업소주,,경기도 수원시 팔달구 효원로 303,41115,편의점,14141489.29,4475592.661,경기도 수원시 팔달구 인계동 1122-10
41,200139,509010,2025,41590116,씨유진안스카이점,,경기도 화성시 병점중앙로170번길 12,41590,편의점,14141790.05,4468909.761,경기도 화성시 진안동 869-10
41,200140,509010,2025,41570256,GS25학운타운점,,경기도 김포시 양촌읍 황금로48번길 38,41570,편의점,14096186.49,4526096.883,경기도 김포시 양촌읍 학운리 2893
41,200141,509010,2025,41570256,지에스25학운,,경기도 김포시 양촌읍 황금로274번길 10,41570,편의점,14093594.83,4524887.991,경기도 김포시 양촌읍 학운리 3787
41,200142,509010,2025,41150106,세븐일레븐민락폴리점,,경기도 의정부시 오목로225번길 177,41150,편의점,14148392.73,4543403.387,경기도 의정부시 민락동 811-1
41,200143,509010,2025,41117102,지에스25광교,,경기도 수원시 영통구 광교호수공원로 277,41117,편의점,14143902.95,4478760.153,경기도 수원시 영통구 원천동 589
41,200144,509010,2025,41173104,이마트24범계역점,,경기도 안양시 동안구 평촌대로223번길 16,41173,편의점,14132528.24,4493799.111,경기도 안양시 동안구 호계동 1044-5
41,200145,509010,2025,41465106,씨유수지,,경기도 용인시 수지구 성복2로 17,41465,편의점,14146594.81,4482504.918,경기도 용인시 수지구 성복동 33-1
41,200146,509010,2025,41465106,세븐수지성복점,,경기도 용인시 수지구 성복2로 130,41465,편의점,14145599.42,4483283.307,경기도 용인시 수지구 성복동 726
41,200147,509010,2025,41570109,씨유김포,,경기도 김포시 김포한강9로75번길 66,41570,편의점,14095465.74,4529118.963,경기도 김포시 구래동 6881-20
41,200148,509010,2025,41610370,이마트24광주,,경기도 광주시 남한산성면 남한산성로 415,41610,편의점,14161284.31,4503494.55,경기도 광주시 남한산성면 불당리 8-2
41,200149,509010,2025,41131107,세븐일레븐성남복정국제점,,경기도 성남시 수정구 복정로134번길 12,41131,편의점,14151855.06,4504081.665,경기도 성남시 수정구 복정동 650-15
41,200150,509010,2025,41190102,씨유부천,,경기도 부천시 원미구 신흥로26번길 42,41190,편의점,14112955.78,4507024.752,경기도 부천시 원미구 심곡동 391-3
